1, Train Instance Accuracy: 0.242424, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
2, Train Instance Accuracy: 0.261364, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
3, Train Instance Accuracy: 0.295455, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
4, Train Instance Accuracy: 0.299242, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
5, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.985507, Best Instance Accuracy: 0.985507
6, Train Instance Accuracy: 0.303030, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.985507
6, Train Instance Accuracy: 0.280303, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
7, Train Instance Accuracy: 0.310606, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
8, Train Instance Accuracy: 0.310606, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
9, Train Instance Accuracy: 0.299242, Test Instance Accuracy: 1.000000, Best Instance Accuracy: 1.000000
10, Train Instance Accuracy: 0.280303, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 1.000000
10, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
11, Train Instance Accuracy: 0.299242, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.000000
12, Train Instance Accuracy: 0.276515, Test Instance Accuracy: 0.282005, Best Instance Accuracy: 0.282005
13, Train Instance Accuracy: 0.318182, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.282005
14, Train Instance Accuracy: 0.299242, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.282005
15, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.282005
16, Train Instance Accuracy: 0.314394, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.282005
17, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.352657, Best Instance Accuracy: 0.352657
18, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.070048, Best Instance Accuracy: 0.352657
19, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
20, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
21, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
22, Train Instance Accuracy: 0.306818, Test Instance Accuracy: 0.126812, Best Instance Accuracy: 0.352657
23, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
24, Train Instance Accuracy: 0.310606, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
25, Train Instance Accuracy: 0.303030, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
26, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
27, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
28, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.111715, Best Instance Accuracy: 0.352657
29, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.056763, Best Instance Accuracy: 0.352657
30, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
31, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
32, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
33, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
34, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
35, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
36, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
37, Train Instance Accuracy: 0.306818, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
38, Train Instance Accuracy: 0.329545, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
39, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
40, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
41, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
42, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
43, Train Instance Accuracy: 0.303030, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
44, Train Instance Accuracy: 0.306818, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
45, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
46, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
47, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
48, Train Instance Accuracy: 0.359848, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
49, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
50, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
51, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
52, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
53, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
54, Train Instance Accuracy: 0.287879, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
55, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
56, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
57, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
58, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
59, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
60, Train Instance Accuracy: 0.318182, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
61, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
62, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.156401, Best Instance Accuracy: 0.352657
63, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
64, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.042271, Best Instance Accuracy: 0.352657
65, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.027778, Best Instance Accuracy: 0.352657
66, Train Instance Accuracy: 0.325758, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
67, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.056159, Best Instance Accuracy: 0.352657
68, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.014493, Best Instance Accuracy: 0.352657
69, Train Instance Accuracy: 0.344697, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
70, Train Instance Accuracy: 0.321970, Test Instance Accuracy: 0.013889, Best Instance Accuracy: 0.352657
71, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
72, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
73, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
74, Train Instance Accuracy: 0.314394, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
75, Train Instance Accuracy: 0.291667, Test Instance Accuracy: 0.000000, Best Instance Accuracy: 0.352657
76, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.070652, Best Instance Accuracy: 0.352657
